nodeName	altName	nodeAttr.nodesPresent...
dsbB_b1185_15	dsbB_b1185_15	turquoise
dsbC_b2893_15	dsbC_b2893_15	turquoise
dsbG_b0604_15	dsbG_b0604_15	turquoise
dsdA_b2366_15	dsdA_b2366_15	orangered4
dsdC_b2364_15	dsdC_b2364_15	blue
dsdX_b2365_15	dsdX_b2365_15	orangered4
dsrA_b1954_15	dsrA_b1954_15	lightyellow
dsrB_b1952_14	dsrB_b1952_14	brown
dtd_b3887_14	dtd_b3887_14	darkgreen
dtpB_b3496_15	dtpB_b3496_15	green
dusA_b4049_14	dusA_b4049_14	turquoise
dusB_b3260_15	dusB_b3260_15	turquoise
dusC_b2140_15	dusC_b2140_15	pink
dut_b3640_15	dut_b3640_15	turquoise
dxr_b0173_15	dxr_b0173_15	turquoise
dxs_b0420_15	dxs_b0420_15	turquoise
eaeH_b0297_14	eaeH_b0297_14	red
eamA_b1533_20	eamA_b1533_20	green
eamB_b2578_15	eamB_b2578_15	turquoise
ebgA_b3076_14	ebgA_b3076_14	black
ebgC_b3077_15	ebgC_b3077_15	red
ebgR_b3075_15	ebgR_b3075_15	turquoise
ecnA_b4410_5	ecnA_b4410_5	turquoise
